distance,time,phase
222.50649695976875,2025-06-23 09:43:44.661157227,P
221.78121716604923,2025-06-23 09:43:44.661157227,P
221.83700791941226,2025-06-23 09:43:44.661157227,P
221.8927986727753,2025-06-23 09:43:44.661157227,P
221.94858942613834,2025-06-23 09:43:44.661157227,P
222.0043801795014,2025-06-23 09:43:44.661157227,P
222.1717524395905,2025-06-23 09:43:44.661157227,P
222.2833339463166,2025-06-23 09:43:44.661157227,P
222.33912469967964,2025-06-23 09:43:44.661157227,P
222.39491545304267,2025-06-23 09:43:44.661157227,P
222.45070620640573,2025-06-23 09:43:44.661157227,P
222.5622877131318,2025-06-23 09:43:44.661157227,P
224.90549935437954,2025-06-23 09:43:44.661157227,P
222.6738692198579,2025-06-23 09:43:44.661157227,P
222.78545072658397,2025-06-23 09:43:44.661157227,P
222.84124147994703,2025-06-23 09:43:44.661157227,P
222.89703223331006,2025-06-23 09:43:44.661157227,P
222.9528229866731,2025-06-23 09:43:44.661157227,P
223.00861374003614,2025-06-23 09:43:44.661157227,P
223.2317767534883,2025-06-23 09:43:44.661157227,P
223.51073052030353,2025-06-23 09:43:44.661157227,P
223.84547504048177,2025-06-23 09:43:44.661157227,P
224.51496408083827,2025-06-23 09:43:44.661157227,P
222.61807846649486,2025-06-23 09:43:44.661157227,P
221.55805415259707,2025-06-23 09:43:44.661773682,P
221.72542641268618,2025-06-23 09:43:44.661773682,P
227.30450174899033,2025-06-23 09:43:44.661773682,P
225.6307791480991,2025-06-23 09:43:44.661773682,P
227.63924626916858,2025-06-23 09:43:44.662389893,P
221.502263399234,2025-06-23 09:43:44.662389893,P
221.55805415259707,2025-06-23 09:43:44.662389893,P
221.39068189250793,2025-06-23 09:43:44.663006348,P
228.81085208979246,2025-06-23 09:43:44.663006348,P
221.44647264587098,2025-06-23 09:43:44.663006348,P
229.2571781166968,2025-06-23 09:43:44.663622559,P
221.27910038578185,2025-06-23 09:43:44.663622559,P
229.6477133902381,2025-06-23 09:43:44.664239014,P
229.8150856503272,2025-06-23 09:43:44.664239014,P
229.98245791041634,2025-06-23 09:43:44.664855225,P
230.03824866377937,2025-06-23 09:43:44.664855225,P
221.22330963241882,2025-06-23 09:43:44.664855225,P
221.16751887905576,2025-06-23 09:43:44.664855225,P
221.16751887905576,2025-06-23 09:43:44.665471680,P
230.26141167723154,2025-06-23 09:43:44.665471680,P
230.09403941714243,2025-06-23 09:43:44.665471680,P
230.54036544404676,2025-06-23 09:43:44.666088135,P
230.3172024305946,2025-06-23 09:43:44.666088135,P
230.65194695077284,2025-06-23 09:43:44.666704346,P
230.70773770413587,2025-06-23 09:43:44.666704346,P
230.59615619740978,2025-06-23 09:43:44.666704346,P
230.81931921086195,2025-06-23 09:43:44.667320801,P
230.93090071758803,2025-06-23 09:43:44.667937012,P
231.09827297767717,2025-06-23 09:43:44.668553467,P
231.20985448440325,2025-06-23 09:43:44.668553467,P
231.48880825121844,2025-06-23 09:43:44.669169678,P
231.43301749785542,2025-06-23 09:43:44.669169678,P
231.37722674449236,2025-06-23 09:43:44.669169678,P
231.60038975794453,2025-06-23 09:43:44.669786133,P
231.65618051130758,2025-06-23 09:43:44.670402344,P
231.76776201803366,2025-06-23 09:43:44.671018799,P
231.7119712646706,2025-06-23 09:43:44.671018799,P
221.0573839022599,2025-06-23 09:43:44.671581055,P
231.8235527713967,2025-06-23 09:43:44.671635254,P
231.76776201803366,2025-06-23 09:43:44.671635254,P
231.87934352475975,2025-06-23 09:43:44.671635254,P
231.93513427812277,2025-06-23 09:43:44.672251465,P
220.9671676778837,2025-06-23 09:43:44.672468750,P
