distance,time,phase
177.17996011964107,2025-06-23 09:36:35.582525635,P
178.75324027916253,2025-06-23 09:36:35.582525635,P
178.22881355932205,2025-06-23 09:36:35.582525635,P
177.9666001994018,2025-06-23 09:36:35.582525635,P
177.70438683948154,2025-06-23 09:36:35.582525635,P
177.44217347956132,2025-06-23 09:36:35.582525635,P
176.6555333998006,2025-06-23 09:36:35.582525635,P
176.39332003988036,2025-06-23 09:36:35.582525635,P
179.01545363908275,2025-06-23 09:36:35.582525635,P
176.1311066799601,2025-06-23 09:36:35.582525635,P
174.82003988035893,2025-06-23 09:36:35.582525635,P
174.29561316051846,2025-06-23 09:36:35.582525635,P
173.77118644067798,2025-06-23 09:36:35.582525635,P
172.98454636091725,2025-06-23 09:36:35.582525635,P
172.722333000997,2025-06-23 09:36:35.582525635,P
172.46011964107677,2025-06-23 09:36:35.582525635,P
175.3444666001994,2025-06-23 09:36:35.582525635,P
181.3753738783649,2025-06-23 09:36:35.585411621,P
181.63758723828514,2025-06-23 09:36:35.585411621,P
182.1620139581256,2025-06-23 09:36:35.585411621,P
181.11316051844466,2025-06-23 09:36:35.585411621,P
180.58873379860418,2025-06-23 09:36:35.585411621,P
179.53988035892323,2025-06-23 09:36:35.585411621,P
182.6864406779661,2025-06-23 09:36:35.585411621,P
172.46011964107677,2025-06-23 09:36:35.585411621,P
171.9356929212363,2025-06-23 09:36:35.585411621,P
180.0643070787637,2025-06-23 09:36:35.585411621,P
182.94865403788634,2025-06-23 09:36:35.585411621,P
181.8998005982054,2025-06-23 09:36:35.585411621,P
55.775174476570285,2025-06-23 09:36:35.585411621,P
57.086241276171485,2025-06-23 09:36:35.585411621,P
55.25074775672981,2025-06-23 09:36:35.585411621,P
54.72632103688933,2025-06-23 09:36:35.585411621,P
54.20189431704885,2025-06-23 09:36:35.585411621,P
53.93968095712861,2025-06-23 09:36:35.585411621,P
53.67746759720837,2025-06-23 09:36:35.585411621,P
53.15304087736789,2025-06-23 09:36:35.585411621,P
52.628614157527416,2025-06-23 09:36:35.585411621,P
58.13509471585244,2025-06-23 09:36:35.588297607,P
57.8728813559322,2025-06-23 09:36:35.588297607,P
58.39730807577268,2025-06-23 09:36:35.588297607,P
58.659521435692916,2025-06-23 09:36:35.588297607,P
171.41126620139582,2025-06-23 09:36:35.588297607,P
171.14905284147557,2025-06-23 09:36:35.588297607,P
170.88683948155534,2025-06-23 09:36:35.588297607,P
170.6246261216351,2025-06-23 09:36:35.588297607,P
170.36241276171486,2025-06-23 09:36:35.588297607,P
170.1001994017946,2025-06-23 09:36:35.588297607,P
169.8379860418744,2025-06-23 09:36:35.588297607,P
169.3135593220339,2025-06-23 09:36:35.588297607,P
183.2108673978066,2025-06-23 09:36:35.588297607,P
183.47308075772682,2025-06-23 09:36:35.588297607,P
168.78913260219343,2025-06-23 09:36:35.588297607,P
59.18394815553339,2025-06-23 09:36:35.591183594,P
58.13509471585244,2025-06-23 09:36:35.591183594,P
58.659521435692916,2025-06-23 09:36:35.591183594,P
184.25972083748755,2025-06-23 09:36:35.591183594,P
185.04636091724825,2025-06-23 09:36:35.591183594,P
167.74027916251245,2025-06-23 09:36:35.591183594,P
183.73529411764707,2025-06-23 09:36:35.591183594,P
58.921734795613155,2025-06-23 09:36:35.591183594,P
59.18394815553339,2025-06-23 09:36:35.594069580,P
58.921734795613155,2025-06-23 09:36:35.594069580,P
166.16699900299102,2025-06-23 09:36:35.594069580,P
165.11814556331007,2025-06-23 09:36:35.594069580,P
165.64257228315054,2025-06-23 09:36:35.594069580,P
187.14406779661016,2025-06-23 09:36:35.594069580,P
186.88185443668993,2025-06-23 09:36:35.594069580,P
186.35742771684946,2025-06-23 09:36:35.594069580,P
185.3085742771685,2025-06-23 09:36:35.594069580,P
166.6914257228315,2025-06-23 09:36:35.594069580,P
163.8070787637089,2025-06-23 09:36:35.596955566,P
164.0692921236291,2025-06-23 09:36:35.596955566,P
164.33150548354936,2025-06-23 09:36:35.596955566,P
187.9307078763709,2025-06-23 09:36:35.596955566,P
188.19292123629114,2025-06-23 09:36:35.596955566,P
188.71734795613162,2025-06-23 09:36:35.599841553,P
189.2417746759721,2025-06-23 09:36:35.599841553,P
163.2826520438684,2025-06-23 09:36:35.599841553,P
163.02043868394816,2025-06-23 09:36:35.599841553,P
162.49601196410768,2025-06-23 09:36:35.599841553,P
161.9715852442672,2025-06-23 09:36:35.599841553,P
59.70837487537388,2025-06-23 09:36:35.599841553,P
59.970588235294116,2025-06-23 09:36:35.599841553,P
161.44715852442673,2025-06-23 09:36:35.602727783,P
159.8738783649053,2025-06-23 09:36:35.602727783,P
160.39830508474577,2025-06-23 09:36:35.602727783,P
161.18494516450647,2025-06-23 09:36:35.602727783,P
189.50398803589232,2025-06-23 09:36:35.602727783,P
59.970588235294116,2025-06-23 09:36:35.602727783,P
60.49501495513459,2025-06-23 09:36:35.605613770,P
157.77617148554336,2025-06-23 09:36:35.605613770,P
158.30059820538386,2025-06-23 09:36:35.605613770,P
158.82502492522434,2025-06-23 09:36:35.605613770,P
159.34945164506482,2025-06-23 09:36:35.605613770,P
60.232801595214355,2025-06-23 09:36:35.605613770,P
189.76620139581257,2025-06-23 09:36:35.605613770,P
190.0284147557328,2025-06-23 09:36:35.605613770,P
190.55284147557327,2025-06-23 09:36:35.608499756,P
190.81505483549353,2025-06-23 09:36:35.608499756,P
60.49501495513459,2025-06-23 09:36:35.608499756,P
156.98953140578266,2025-06-23 09:36:35.608499756,P
156.7273180458624,2025-06-23 09:36:35.608499756,P
