distance,latitude,longitude,altitude (m)
0.0,40.60120383152507,15.719990831684736,780.5
9.600000000000001,40.60120383152507,15.719990831684736,780.5
19.200000000000003,40.60120383152507,15.719990831684736,780.5
28.800000000000004,40.60120383152507,15.719990831684736,780.5
38.400000000000006,40.60120383152507,15.719990831684736,780.5
48.00000000000001,40.60120383152507,15.719990831684736,780.5
57.60000000000001,40.60120383152507,15.719990831684736,780.5
67.2,40.601289714473346,15.72000249768513,780.5
76.80000000000001,40.60131106109821,15.719914678955194,780.5
86.4,40.60131273154867,15.719801389328719,780.5
96.00000000000001,40.601312351726946,15.719687985387512,780.5
105.60000000000001,40.60131937678697,15.719575206368823,780.5
115.20000000000002,40.60132974833297,15.719462832063682,780.5
124.80000000000001,40.601332704900095,15.719349414828429,780.5
134.4,40.601340456157466,15.719236499418162,780.5
144.00000000000003,40.601347304859175,15.71912337336408,780.5
153.60000000000002,40.601351744735126,15.719010119686196,780.5
163.20000000000002,40.60135618461108,15.71889686600831,780.5
172.8,40.60135593312737,15.718783486951056,780.5
182.40000000000003,40.60135568138171,15.718669989790616,780.5
192.00000000000003,40.601357328694014,15.718556675572147,780.5
201.60000000000002,40.60136243851668,15.718443479589112,780.5
211.20000000000002,40.601367548339354,15.718330283606077,780.5
220.80000000000004,40.60137266348476,15.71821696971056,780.5
230.40000000000003,40.601377250476,15.718103740512769,780.5
240.00000000000003,40.60138154017094,15.717990492428155,780.5
249.60000000000002,40.60138559008021,15.717877235205961,780.5
259.20000000000005,40.60138561694684,15.71776370653951,780.5
268.8,40.60138564378552,15.717650296009026,780.5
278.40000000000003,40.6013856706242,15.717536885478545,780.5
288.00000000000006,40.60139394514249,15.717423997572261,780.5
297.6,40.60140241310316,15.717311121923688,780.5
307.20000000000005,40.601405369302874,15.71719797095038,780.5
316.8,40.60140605416582,15.717084534992436,780.5
326.40000000000003,40.60141036767889,15.716971279448776,780.5
336.00000000000006,40.601414681191955,15.716858023905116,780.5
345.6,40.60141899470503,15.716744768361457,780.5
355.20000000000005,40.601423308218095,15.716631512817797,780.5
364.80000000000007,40.60143514851381,15.716519435699148,780.5
374.40000000000003,40.60145340294931,15.716408582749223,780.5
384.00000000000006,40.60147165738482,15.716297729799297,780.5
393.6,40.60149251810211,15.716187774030393,780.5
403.20000000000005,40.601518263646945,15.716079499804366,780.5
412.80000000000007,40.60154400919178,15.715971225578336,780.5
422.40000000000003,40.60156975473661,15.715862951352308,780.5
432.00000000000006,40.60159655516132,15.715755182339413,780.5
441.6000000000001,40.601629432288476,15.715650323638789,780.5
451.20000000000005,40.60166234366263,15.715545355710352,780.5
460.80000000000007,40.601698799815665,15.71544258894791,780.5
470.4000000000001,40.601736930558786,15.715340800982233,780.5
480.00000000000006,40.601775061301915,15.715239013016555,780.5
489.6000000000001,40.601813192045036,15.715137225050876,780.5
499.20000000000005,40.601851322788164,15.715035437085199,780.5
508.80000000000007,40.60188945353129,15.714933649119521,780.5
518.4000000000001,40.60192856646542,15.714832516228636,780.5
528.0,40.6019677638413,15.714731439656399,780.5
537.6,40.602006961217185,15.714630363084162,780.5
547.2,40.60204615859307,15.714529286511924,780.5
556.8000000000001,40.60208535596896,15.714428209939687,780.5
566.4000000000001,40.60212459417544,15.714327028079355,780.5
576.0000000000001,40.602164488319175,15.714226427349386,780.5
585.6,40.60220575658403,15.714126765045195,780.5
595.2,40.60224702484888,15.714027102741005,780.5
604.8000000000001,40.60228829311373,15.713927440436814,780.5
614.4000000000001,40.60232956137858,15.713827778132623,780.5
624.0000000000001,40.60236889508176,15.71372683391178,780.5
633.6,40.602405971068485,15.713624393639222,780.5
643.2,40.60244304705521,15.713521953366666,780.5
652.8000000000001,40.602480123041936,15.713419513094108,780.5
662.4000000000001,40.60251723764948,15.713316966112934,780.5
672.0000000000001,40.602554313636205,15.713214525840376,780.5
681.6,40.60258418367256,15.713108155140699,780.5
691.2,40.60261360732262,15.713001540963234,780.5
700.8000000000001,40.602642955202015,15.712894770780508,780.5
710.4000000000001,40.60266670310334,15.712785759332403,780.5
720.0000000000001,40.60269045100466,15.7126767478843,780.5
729.6000000000001,40.60270469063103,15.712564983809873,780.5
739.2,40.6027083190578,15.712451680101111,780.5
748.8000000000001,40.60270918672344,15.712339912980353,780.5
758.4000000000001,40.60272443119429,15.7122282455768,780.5
768.0000000000001,40.602736475621406,15.71211599584311,780.5
777.6000000000001,40.60274595791033,15.712003291369674,780.5
787.2,40.60275288746851,15.711890161187613,780.5
796.8000000000001,40.60276139751502,15.711777461260693,780.5
806.4000000000001,40.602775487228215,15.71166562122384,780.5
816.0000000000001,40.602786768955156,15.711553081355346,780.5
825.6000000000001,40.60279811311137,15.711440682919651,780.5
835.2000000000002,40.60280969431836,15.711328241274062,780.5
844.8000000000001,40.602822033444816,15.71121603906179,780.5
854.4000000000001,40.6028350291085,15.711103839079607,780.5
864.0000000000001,40.60284955121553,15.710992056116595,780.5
873.6000000000001,40.60286117416332,15.71087968954109,780.5
883.2000000000002,40.60287232270324,15.71076722746536,780.5
892.8000000000001,40.6028834067056,15.710654778685397,780.5
902.4000000000001,40.60289448546672,15.710542216229694,780.5
912.0000000000001,40.60290514459619,15.710429693181878,780.5
921.6000000000001,40.60291544212531,15.710317101267815,780.5
931.2000000000002,40.60292591614816,15.710204535475029,780.5
940.8000000000002,40.602936569140596,15.71009187729916,780.5
950.4000000000001,40.60294708321574,15.709979322184761,780.5
960.0000000000001,40.60295757134003,15.709866764194011,780.5
969.6000000000001,40.60296845542229,15.709754274047713,780.5
